樣品,甜度,酸度,香氣,口感
A,3,1,3,1
A,3,5,1,5
C,5,1,5,3
A,5,5,3,5
B,3,3,5,3
A,1,1,5,3
A,3,3,5,3
C,3,5,1,1
A,5,1,3,5
A,1,5,3,3
A,5,5,1,1
C,3,3,1,5
A,1,3,5,3
C,1,5,1,5
B,1,3,1,1
A,1,3,5,1
A,5,3,5,1
A,3,3,5,3
A,3,3,3,5
A,5,5,1,3
A,1,3,5,3
B,1,5,1,3
A,1,3,5,3
B,5,5,3,1
A,5,3,1,3
A,1,1,5,3
B,3,3,1,3
B,3,1,3,1
B,1,5,5,5
A,5,3,1,5
A,1,1,1,5
B,3,1,1,1
A,5,3,1,5
A,5,5,3,3
B,3,5,3,1
A,3,1,3,1
A,3,3,5,3
A,3,5,5,5
A,5,5,1,5
B,5,1,5,3
A,5,3,1,5
B,1,1,5,5
A,1,3,5,5
B,3,3,3,5
B,5,5,1,1
A,5,5,1,5
A,5,1,3,1
B,5,3,1,1
A,1,3,5,3
A,1,5,5,3
A,3,1,5,1
B,3,1,3,1
A,5,5,5,5
B,3,3,1,1
A,5,5,1,1
C,1,1,5,1
A,3,3,3,5
B,3,5,1,3
B,1,3,1,1
C,5,3,3,5
B,3,1,1,5
B,1,1,5,5
A,5,1,3,1
B,3,1,1,5
A,3,3,3,5
B,5,5,3,5
A,5,5,3,1
A,5,1,3,3
B,5,3,5,3
A,5,3,3,1
A,5,5,3,1
A,3,1,5,3
A,5,1,5,5
A,5,3,1,5
,,,,
,,,,
,,,,
,,,,
,,,,
